Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 30 | dz = 0.000 | diff = 0.24 | SS | 0.755
 0, 78 | dz = 0.000 | diff = 0.38 | SS | 0.599
 0, 82 | dz = 0.000 | diff = -0.00 | SS | 1.002
 0, 148 | dz = 0.000 | diff = 0.28 | SS | 1.066
 1, 111 | dz = 0.000 | diff = -0.02 | SS | 0.978
 1, 117 | dz = 0.000 | diff = 0.01 | SS | 1.166
 1, 149 | dz = 0.000 | diff = -0.02 | SS | 1.004
 2, 23 | dz = 0.000 | diff = 0.01 | SS | 1.045
 2, 36 | dz = 0.000 | diff = 0.03 | SS | 0.939
 2, 83 | dz = 0.000 | diff = -0.04 | SS | 0.996
 2, 148 | dz = 0.000 | diff = 0.16 | SS | 1.050
 3, 29 | dz = 0.000 | diff = -0.06 | SS | 0.819
 3, 73 | dz = 0.000 | diff = -0.05 | SS | 0.955
 3, 88 | dz = 0.000 | diff = 0.01 | SS | 1.004
 3, 157 | dz = 0.000 | diff = 0.01 | SS | 1.009
 4, 14 | dz = 0.000 | diff = 0.16 | SS | 1.045
 4, 16 | dz = 0.001 | diff = 0.60 | SS | 1.257
 4, 19 | dz = 0.000 | diff = 0.43 | SS | 0.878
 4, 35 | dz = 0.000 | diff = 0.48 | SS | 0.974
 4, 94 | dz = 0.000 | diff = 0.16 | SS | 0.833
 4, 155 | dz = 0.001 | diff = 0.46 | SS | 1.451
 5, 21 | dz = 0.000 | diff = 0.02 | SS | 1.056
 5, 102 | dz = 0.000 | diff = 0.05 | SS | 0.898
 5, 109 | dz = 0.000 | diff = -0.04 | SS | 1.020
 5, 138 | dz = 0.000 | diff = 0.14 | SS | 1.002
 6, 15 | dz = 0.000 | diff = -0.03 | SS | 0.779
 6, 28 | dz = 0.001 | diff = 0.25 | SS | 0.721
 6, 58 | dz = 0.001 | diff = 0.24 | SS | 0.990
 6, 87 | dz = 0.000 | diff = 0.27 | SS | 1.725
 6, 151 | dz = 0.000 | diff = 0.20 | SS | 1.194
 7, 20 | dz = 0.000 | diff = 0.03 | SS | 1.152
 7, 26 | dz = 0.000 | diff = -0.04 | SS | 0.847
 7, 53 | dz = 0.000 | diff = -0.16 | SS | 0.913
 7, 61 | dz = 0.000 | diff = -0.02 | SS | 1.014
 7, 141 | dz = 0.000 | diff = 0.03 | SS | 0.942
 7, 150 | dz = 0.001 | diff = -0.08 | SS | 1.209
 8, 46 | dz = 0.000 | diff = -0.15 | SS | 1.229
 8, 86 | dz = 0.000 | diff = -0.52 | SS | 0.722
 8, 90 | dz = 0.000 | diff = -0.52 | SS | 0.998
 8, 126 | dz = 0.000 | diff = -0.10 | SS | 1.103
 8, 140 | dz = 0.000 | diff = -0.02 | SS | 0.845
 8, 154 | dz = 0.000 | diff = 0.23 | SS | 0.740
 9, 12 | dz = 0.000 | diff = 0.08 | SS | 1.200
 9, 68 | dz = 0.000 | diff = 0.01 | SS | 0.831
 9, 70 | dz = 0.000 | diff = 0.07 | SS | 1.008
 9, 119 | dz = 0.000 | diff = 0.05 | SS | 1.013
 9, 144 | dz = 0.000 | diff = -0.22 | SS | 0.970
 9, 153 | dz = 0.000 | diff = -0.35 | SS | 0.904
10, 42 | dz = 0.001 | diff = 0.26 | SS | 0.785
10, 55 | dz = 0.000 | diff = 0.13 | SS | 1.028
10, 90 | dz = 0.000 | diff = 0.06 | SS | 1.002
10, 128 | dz = 0.000 | diff = -0.19 | SS | 0.826
11, 32 | dz = 0.000 | diff = -0.13 | SS | 1.412
11, 51 | dz = 0.000 | diff = 0.10 | SS | 0.989
11, 113 | dz = 0.000 | diff = 0.26 | SS | 0.993
11, 121 | dz = 0.000 | diff = -0.00 | SS | 0.894
12, 44 | dz = 0.000 | diff = 0.02 | SS | 1.006
12, 73 | dz = 0.000 | diff = -0.06 | SS | 1.117
12, 108 | dz = 0.000 | diff = 0.01 | SS | 0.940
12, 119 | dz = 0.000 | diff = 0.03 | SS | 0.945
12, 144 | dz = 0.000 | diff = -0.14 | SS | 0.782
13, 33 | dz = 0.000 | diff = -0.22 | SS | 1.231
13, 39 | dz = 0.000 | diff = 0.63 | SS | 1.013
13, 44 | dz = 0.000 | diff = -0.31 | SS | 0.571
13, 77 | dz = 0.000 | diff = -0.18 | SS | 0.885
13, 85 | dz = 0.000 | diff = 0.46 | SS | 1.171
13, 144 | dz = 0.000 | diff = 0.15 | SS | 0.863
14, 15 | dz = 0.001 | diff = 0.35 | SS | 1.364
14, 38 | dz = 0.000 | diff = 0.17 | SS | 0.819
14, 58 | dz = 0.001 | diff = 0.08 | SS | 0.986
14, 94 | dz = 0.000 | diff = 0.32 | SS | 0.998
14, 155 | dz = 0.001 | diff = 0.30 | SS | 1.091
15, 58 | dz = 0.001 | diff = 0.28 | SS | 0.715
15, 99 | dz = 0.000 | diff = 0.21 | SS | 1.113
15, 151 | dz = 0.000 | diff = 0.16 | SS | 1.362
15, 155 | dz = 0.000 | diff = 0.05 | SS | 0.715
16, 19 | dz = 0.001 | diff = 1.03 | SS | 1.040
16, 57 | dz = 0.000 | diff = 0.24 | SS | 1.859
16, 142 | dz = 0.001 | diff = 0.23 | SS | 1.417
16, 155 | dz = 0.000 | diff = -0.14 | SS | 0.466
17, 32 | dz = 0.000 | diff = -0.04 | SS | 1.584
17, 43 | dz = 0.000 | diff = 0.17 | SS | 0.986
17, 45 | dz = 0.000 | diff = -0.05 | SS | 0.999
17, 60 | dz = 0.000 | diff = 0.57 | SS | 0.922
17, 75 | dz = 0.000 | diff = -0.26 | SS | 1.051
17, 137 | dz = 0.000 | diff = 0.14 | SS | 0.890
18, 114 | dz = 0.000 | diff = 0.09 | SS | 0.849
18, 118 | dz = 0.000 | diff = 0.34 | SS | 1.027
18, 123 | dz = 0.000 | diff = -0.12 | SS | 1.003
18, 143 | dz = 0.000 | diff = 0.23 | SS | 0.770
19, 35 | dz = 0.000 | diff = 0.06 | SS | 0.912
19, 37 | dz = 0.000 | diff = 0.45 | SS | 0.887
19, 129 | dz = 0.000 | diff = 1.02 | SS | 19.993
20, 53 | dz = 0.000 | diff = -0.19 | SS | 0.853
20, 68 | dz = 0.000 | diff = 0.09 | SS | 1.024
20, 119 | dz = 0.000 | diff = 0.02 | SS | 0.832
20, 141 | dz = 0.000 | diff = 0.01 | SS | 1.009
20, 147 | dz = 0.000 | diff = 0.04 | SS | 0.968
21, 27 | dz = 0.000 | diff = 0.00 | SS | 1.027
21, 109 | dz = 0.000 | diff = -0.02 | SS | 0.952
21, 131 | dz = 0.000 | diff = -0.01 | SS | 1.006
22, 76 | dz = 0.000 | diff = 0.00 | SS | 1.005
22, 88 | dz = 0.000 | diff = -0.01 | SS | 0.996
22, 139 | dz = 0.000 | diff = 0.03 | SS | 1.026
22, 157 | dz = 0.000 | diff = -0.01 | SS | 0.992
23, 69 | dz = 0.000 | diff = 0.03 | SS | 1.060
23, 83 | dz = 0.000 | diff = -0.03 | SS | 0.945
23, 133 | dz = 0.000 | diff = -0.01 | SS | 0.995
24, 40 | dz = 0.000 | diff = -0.04 | SS | 0.951
24, 64 | dz = 0.000 | diff = -0.00 | SS | 0.972
24, 95 | dz = 0.000 | diff = -0.06 | SS | 1.063
24, 96 | dz = 0.000 | diff = -0.04 | SS | 1.011
24, 109 | dz = 0.000 | diff = -0.05 | SS | 1.012
24, 131 | dz = 0.000 | diff = -0.06 | SS | 0.922
25, 27 | dz = 0.000 | diff = 0.03 | SS | 1.005
25, 64 | dz = 0.000 | diff = -0.04 | SS | 0.958
25, 72 | dz = 0.000 | diff = -0.03 | SS | 0.929
25, 131 | dz = 0.000 | diff = 0.02 | SS | 1.001
26, 74 | dz = 0.001 | diff = 1.16 | SS | 1.166
26, 76 | dz = 0.000 | diff = 0.05 | SS | 1.040
26, 139 | dz = 0.000 | diff = 0.02 | SS | 0.976
26, 141 | dz = 0.000 | diff = -0.06 | SS | 1.000
26, 150 | dz = 0.001 | diff = -0.12 | SS | 0.989
27, 72 | dz = 0.000 | diff = 0.00 | SS | 1.001
27, 131 | dz = 0.000 | diff = -0.01 | SS | 0.973
28, 58 | dz = 0.000 | diff = -0.01 | SS | 0.996
28, 100 | dz = 0.000 | diff = 0.08 | SS | 1.092
29, 44 | dz = 0.000 | diff = -0.05 | SS | 1.007
29, 73 | dz = 0.000 | diff = 0.01 | SS | 1.006
29, 77 | dz = 0.000 | diff = -0.17 | SS | 0.812
30, 43 | dz = 0.000 | diff = 0.24 | SS | 0.757
30, 78 | dz = 0.000 | diff = -0.14 | SS | 1.043
30, 113 | dz = 0.000 | diff = 0.25 | SS | 0.753
31, 60 | dz = 0.000 | diff = -0.86 | SS | 0.514
31, 74 | dz = 0.000 | diff = 2.26 | SS | 2.044
31, 125 | dz = 0.000 | diff = -0.71 | SS | 0.892
32, 43 | dz = 0.000 | diff = 0.13 | SS | 1.004
32, 51 | dz = 0.000 | diff = -0.03 | SS | 0.981
32, 75 | dz = 0.000 | diff = 0.21 | SS | 0.938
32, 113 | dz = 0.000 | diff = 0.12 | SS | 0.885
33, 39 | dz = 0.000 | diff = 0.41 | SS | 0.832
33, 98 | dz = 0.000 | diff = 0.25 | SS | 1.253
33, 115 | dz = 0.000 | diff = 0.36 | SS | 1.148
33, 144 | dz = 0.000 | diff = 0.37 | SS | 0.611
33, 153 | dz = 0.000 | diff = 0.24 | SS | 0.716
34, 85 | dz = 0.001 | diff = 1.03 | SS | 0.201
34, 89 | dz = 0.001 | diff = 0.73 | SS | 1.751
34, 104 | dz = 0.000 | diff = 0.24 | SS | 0.771
34, 106 | dz = 0.000 | diff = 0.50 | SS | 1.230
34, 145 | dz = 0.000 | diff = 0.02 | SS | 1.007
35, 37 | dz = 0.000 | diff = 0.39 | SS | 0.918
35, 63 | dz = 0.000 | diff = -0.06 | SS | 1.013
35, 94 | dz = 0.000 | diff = 0.32 | SS | 1.323
35, 103 | dz = 0.000 | diff = 0.25 | SS | 0.776
36, 82 | dz = 0.000 | diff = 0.42 | SS | 0.946
36, 83 | dz = 0.000 | diff = 0.07 | SS | 1.067
36, 148 | dz = 0.000 | diff = 0.13 | SS | 1.022
37, 103 | dz = 0.000 | diff = -0.14 | SS | 1.023
37, 112 | dz = 0.000 | diff = 0.27 | SS | 0.741
37, 122 | dz = 0.000 | diff = 0.90 | SS | 0.357
37, 129 | dz = 0.000 | diff = 0.57 | SS | 0.050
38, 58 | dz = 0.001 | diff = 0.25 | SS | 1.323
38, 94 | dz = 0.000 | diff = -0.15 | SS | 1.063
38, 100 | dz = 0.000 | diff = 0.16 | SS | 1.233
38, 114 | dz = 0.000 | diff = 0.26 | SS | 0.932
38, 118 | dz = 0.000 | diff = -0.01 | SS | 0.756
39, 85 | dz = 0.000 | diff = -0.17 | SS | 1.040
39, 104 | dz = 0.000 | diff = 0.61 | SS | 0.942
39, 115 | dz = 0.000 | diff = -0.05 | SS | 1.000
39, 116 | dz = 0.000 | diff = 0.26 | SS | 1.146
40, 66 | dz = 0.000 | diff = -0.12 | SS | 0.999
40, 96 | dz = 0.000 | diff = -0.09 | SS | 1.118
40, 102 | dz = 0.000 | diff = -0.09 | SS | 1.090
40, 109 | dz = 0.000 | diff = 0.00 | SS | 0.933
40, 140 | dz = 0.000 | diff = 0.06 | SS | 0.942
41, 52 | dz = 0.000 | diff = -0.38 | SS | 0.170
41, 122 | dz = 0.000 | diff = 0.76 | SS | 0.987
41, 129 | dz = 0.000 | diff = 1.08 | SS | 1.730
41, 158 | dz = 0.000 | diff = 0.17 | SS | 1.345
42, 50 | dz = 0.000 | diff = 0.37 | SS | 0.622
42, 106 | dz = 0.000 | diff = 0.16 | SS | 0.835
42, 128 | dz = 0.001 | diff = 0.07 | SS | 1.008
43, 78 | dz = 0.001 | diff = 0.10 | SS | 1.000
43, 113 | dz = 0.000 | diff = -0.01 | SS | 1.373
43, 137 | dz = 0.000 | diff = 0.04 | SS | 1.052
44, 73 | dz = 0.000 | diff = -0.04 | SS | 0.810
44, 77 | dz = 0.000 | diff = 0.12 | SS | 1.137
44, 144 | dz = 0.000 | diff = -0.16 | SS | 1.206
45, 60 | dz = 0.000 | diff = 0.61 | SS | 0.633
45, 137 | dz = 0.000 | diff = 0.18 | SS | 0.987
46, 56 | dz = 0.000 | diff = -0.09 | SS | 1.105
46, 66 | dz = 0.000 | diff = -0.06 | SS | 0.791
46, 126 | dz = 0.000 | diff = -0.04 | SS | 0.737
46, 132 | dz = 0.000 | diff = 0.09 | SS | 1.003
46, 140 | dz = 0.000 | diff = -0.12 | SS | 0.888
47, 49 | dz = 0.000 | diff = 0.33 | SS | 1.010
47, 84 | dz = 0.000 | diff = 0.39 | SS | 1.387
47, 101 | dz = 0.000 | diff = 0.11 | SS | 0.458
47, 115 | dz = 0.000 | diff = 0.23 | SS | 0.988
47, 116 | dz = 0.000 | diff = 0.08 | SS | 1.017
48, 67 | dz = 0.000 | diff = 0.00 | SS | 1.003
48, 105 | dz = 0.000 | diff = -0.01 | SS | 1.047
48, 111 | dz = 0.000 | diff = -0.01 | SS | 0.987
48, 123 | dz = 0.000 | diff = 0.09 | SS | 0.914
48, 143 | dz = 0.000 | diff = 0.02 | SS | 1.081
48, 149 | dz = 0.000 | diff = -0.01 | SS | 0.880
49, 62 | dz = 0.000 | diff = 0.30 | SS | 1.213
49, 80 | dz = 0.000 | diff = -0.12 | SS | 0.898
49, 81 | dz = 0.000 | diff = 0.30 | SS | 1.498
49, 84 | dz = 0.000 | diff = -0.07 | SS | 1.023
49, 116 | dz = 0.000 | diff = 0.24 | SS | 0.967
50, 106 | dz = 0.000 | diff = 0.21 | SS | 0.955
50, 110 | dz = 0.000 | diff = 0.24 | SS | 0.746
50, 145 | dz = 0.000 | diff = 0.26 | SS | 1.033
51, 75 | dz = 0.000 | diff = -0.24 | SS | 1.486
51, 121 | dz = 0.000 | diff = 0.10 | SS | 0.987
51, 134 | dz = 0.000 | diff = 0.10 | SS | 0.796
51, 135 | dz = 0.000 | diff = -0.02 | SS | 1.015
53, 61 | dz = 0.000 | diff = -0.14 | SS | 1.242
53, 65 | dz = 0.000 | diff = -0.07 | SS | 1.014
53, 147 | dz = 0.000 | diff = 0.23 | SS | 1.085
54, 92 | dz = 0.000 | diff = 0.08 | SS | 1.189
54, 124 | dz = 0.000 | diff = 0.12 | SS | 0.884
54, 127 | dz = 0.000 | diff = -0.07 | SS | 1.108
