Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 32 | dz = 0.000 | diff = 0.18 | SS | 0.816
 0, 42 | dz = 0.000 | diff = 0.30 | SS | 1.302
 0, 74 | dz = 0.000 | diff = -0.12 | SS | 0.927
 0, 124 | dz = 0.000 | diff = 0.18 | SS | 1.103
 1, 21 | dz = 0.000 | diff = 0.12 | SS | 1.004
 1, 62 | dz = 0.000 | diff = -0.07 | SS | 0.952
 1, 100 | dz = 0.000 | diff = 0.14 | SS | 1.010
 1, 154 | dz = 0.001 | diff = 0.25 | SS | 1.675
 2,  5 | dz = 0.000 | diff = 0.23 | SS | 0.601
 2, 30 | dz = 0.000 | diff = -0.23 | SS | 1.085
 2, 82 | dz = 0.000 | diff = -0.62 | SS | 2.033
 2, 109 | dz = 0.000 | diff = 0.23 | SS | 0.995
 2, 127 | dz = 0.000 | diff = -0.03 | SS | 0.977
 3, 29 | dz = 0.000 | diff = 0.29 | SS | 0.670
 3, 47 | dz = 0.000 | diff = 0.33 | SS | 1.148
 3, 50 | dz = 0.000 | diff = 0.69 | SS | 0.342
 3, 55 | dz = 0.000 | diff = 0.15 | SS | 0.853
 3, 101 | dz = 0.000 | diff = 0.06 | SS | 0.984
 3, 125 | dz = 0.000 | diff = 0.46 | SS | 1.079
 4, 69 | dz = 0.000 | diff = -1.69 | SS | 0.963
 4, 99 | dz = 0.000 | diff = -0.69 | SS | 0.678
 4, 101 | dz = 0.361 | diff = -77.24 | SD | 1.474
 4, 151 | dz = 0.000 | diff = 0.05 | SS | 2.106
 5, 20 | dz = 0.000 | diff = 0.00 | SS | 0.964
 5, 49 | dz = 0.000 | diff = 0.21 | SS | 0.772
 5, 109 | dz = 0.000 | diff = 0.01 | SS | 1.003
 5, 114 | dz = 0.000 | diff = -0.15 | SS | 1.084
 5, 127 | dz = 0.000 | diff = 0.20 | SS | 1.595
 6, 10 | dz = 0.001 | diff = -0.39 | SS | 0.706
 6, 20 | dz = 0.000 | diff = 0.58 | SS | 0.860
 6, 43 | dz = 0.000 | diff = -0.06 | SS | 1.804
 6, 49 | dz = 0.000 | diff = 0.37 | SS | 1.012
 6, 159 | dz = 0.000 | diff = -0.08 | SS | 0.981
 7, 61 | dz = 0.000 | diff = -0.16 | SS | 1.002
 8, 34 | dz = 0.000 | diff = -0.05 | SS | 1.003
 8, 38 | dz = 0.000 | diff = -0.01 | SS | 1.006
 8, 73 | dz = 0.000 | diff = 0.05 | SS | 0.999
 9, 21 | dz = 0.000 | diff = 0.04 | SS | 1.030
 9, 65 | dz = 0.000 | diff = -0.10 | SS | 0.996
 9, 66 | dz = 0.000 | diff = 0.02 | SS | 0.931
 9, 83 | dz = 0.000 | diff = 0.01 | SS | 1.021
 9, 100 | dz = 0.000 | diff = 0.02 | SS | 1.004
 9, 143 | dz = 0.000 | diff = 0.11 | SS | 0.908
10, 159 | dz = 0.000 | diff = -0.30 | SS | 1.012
11, 35 | dz = 0.000 | diff = 0.03 | SS | 1.383
11, 87 | dz = 0.000 | diff = 0.13 | SS | 1.339
11, 94 | dz = 0.000 | diff = 0.04 | SS | 0.635
11, 118 | dz = 0.000 | diff = -0.03 | SS | 1.002
11, 123 | dz = 0.000 | diff = 0.10 | SS | 0.932
11, 156 | dz = 0.000 | diff = 0.07 | SS | 0.616
12, 69 | dz = 0.000 | diff = 0.09 | SS | 0.607
12, 86 | dz = 0.000 | diff = -0.74 | SS | 1.019
12, 99 | dz = 0.000 | diff = -0.91 | SS | 0.417
13, 80 | dz = 0.001 | diff = 0.27 | SS | 1.025
13, 92 | dz = 0.001 | diff = -0.22 | SS | 0.844
13, 145 | dz = 0.000 | diff = -0.16 | SS | 0.102
13, 146 | dz = 0.001 | diff = 0.30 | SS | 1.007
14, 24 | dz = 0.000 | diff = -0.61 | SS | 0.429
14, 65 | dz = 0.000 | diff = 0.27 | SS | 1.139
14, 135 | dz = 0.000 | diff = -0.66 | SS | 0.343
14, 143 | dz = 0.000 | diff = 0.25 | SS | 1.244
14, 149 | dz = 0.000 | diff = 0.01 | SS | 0.984
15, 19 | dz = 0.001 | diff = -0.26 | SS | 1.003
15, 147 | dz = 0.370 | diff = -78.29 | SD | 2.219
16, 27 | dz = 0.000 | diff = -0.01 | SS | 0.830
16, 53 | dz = 0.000 | diff = 0.05 | SS | 1.019
16, 110 | dz = 0.000 | diff = -0.01 | SS | 0.999
16, 120 | dz = 0.000 | diff = -0.06 | SS | 1.117
16, 139 | dz = 0.000 | diff = -0.01 | SS | 0.896
16, 155 | dz = 0.000 | diff = -0.03 | SS | 0.981
17, 72 | dz = 0.000 | diff = -0.33 | SS | 1.303
17, 79 | dz = 0.000 | diff = -0.19 | SS | 19.968
17, 129 | dz = 0.003 | diff = -0.18 | SS | 1.863
18, 26 | dz = 0.000 | diff = 0.03 | SS | 0.260
18, 29 | dz = 0.002 | diff = 0.61 | SS | 1.330
18, 37 | dz = 0.001 | diff = 0.36 | SS | 0.991
18, 95 | dz = 0.001 | diff = 0.09 | SS | 0.906
18, 98 | dz = 0.000 | diff = -0.04 | SS | 1.272
19, 64 | dz = 0.000 | diff = -0.22 | SS | 0.665
19, 113 | dz = 0.369 | diff = -78.24 | SD | 1.690
19, 147 | dz = 0.369 | diff = -78.03 | SD | 0.866
20, 49 | dz = 0.000 | diff = -0.21 | SS | 1.162
20, 127 | dz = 0.000 | diff = 0.20 | SS | 0.992
20, 153 | dz = 0.000 | diff = -0.14 | SS | 1.864
21, 83 | dz = 0.000 | diff = 0.05 | SS | 0.954
21, 100 | dz = 0.000 | diff = -0.02 | SS | 0.993
22, 39 | dz = 0.000 | diff = -0.23 | SS | 0.052
22, 92 | dz = 0.000 | diff = -0.06 | SS | 0.372
22, 116 | dz = 0.000 | diff = -0.45 | SS | 0.646
22, 119 | dz = 0.000 | diff = -0.57 | SS | 1.086
22, 145 | dz = 0.001 | diff = -0.12 | SS | 1.110
22, 154 | dz = 0.001 | diff = -0.12 | SS | 1.352
23, 26 | dz = 0.000 | diff = -0.00 | SS | 1.088
23, 84 | dz = 0.000 | diff = 0.01 | SS | 0.679
23, 95 | dz = 0.000 | diff = -0.06 | SS | 0.697
23, 120 | dz = 0.000 | diff = -0.08 | SS | 1.024
23, 152 | dz = 0.000 | diff = 0.08 | SS | 0.928
23, 157 | dz = 0.000 | diff = 0.18 | SS | 1.183
24, 64 | dz = 0.369 | diff = -77.88 | SD | 0.480
24, 113 | dz = 0.000 | diff = 0.14 | SS | 1.565
24, 135 | dz = 0.000 | diff = 0.05 | SS | 1.007
24, 149 | dz = 0.000 | diff = 0.62 | SS | 1.312
25, 51 | dz = 0.364 | diff = -77.61 | SD | 1.586
25, 87 | dz = 0.000 | diff = -0.25 | SS | 1.214
25, 122 | dz = 0.000 | diff = 0.05 | SS | 1.048
25, 123 | dz = 0.000 | diff = 0.27 | SS | 1.521
25, 137 | dz = 0.364 | diff = -77.62 | SD | 0.980
25, 158 | dz = 0.000 | diff = -0.11 | SS | 0.966
26, 95 | dz = 0.000 | diff = 0.06 | SS | 0.965
26, 130 | dz = 0.000 | diff = -0.42 | SS | 1.768
26, 157 | dz = 0.000 | diff = -0.18 | SS | 0.999
27, 106 | dz = 0.000 | diff = 0.21 | SS | 0.792
27, 120 | dz = 0.000 | diff = -0.05 | SS | 1.034
27, 144 | dz = 0.000 | diff = -0.22 | SS | 1.011
27, 152 | dz = 0.000 | diff = -0.06 | SS | 1.105
27, 155 | dz = 0.000 | diff = -0.04 | SS | 0.982
28, 35 | dz = 0.000 | diff = 0.08 | SS | 0.540
28, 94 | dz = 0.001 | diff = 0.08 | SS | 1.308
28, 105 | dz = 0.000 | diff = -0.03 | SS | 1.031
28, 107 | dz = 0.000 | diff = 0.15 | SS | 0.867
28, 108 | dz = 0.000 | diff = -0.24 | SS | 1.474
29, 37 | dz = 0.000 | diff = 0.26 | SS | 1.045
29, 47 | dz = 0.000 | diff = 0.04 | SS | 0.769
29, 50 | dz = 0.000 | diff = -0.39 | SS | 1.466
30, 59 | dz = 0.000 | diff = -0.00 | SS | 0.999
30, 109 | dz = 0.000 | diff = 0.01 | SS | 0.996
31, 70 | dz = 0.000 | diff = 0.05 | SS | 1.048
31, 78 | dz = 0.364 | diff = -77.79 | SD | 1.652
31, 91 | dz = 0.000 | diff = 0.15 | SS | 1.005
31, 131 | dz = 0.000 | diff = -0.05 | SS | 1.288
31, 144 | dz = 0.364 | diff = -77.73 | SD | 0.987
32, 36 | dz = 0.000 | diff = -0.11 | SS | 0.840
32, 74 | dz = 0.000 | diff = 0.07 | SS | 1.363
32, 91 | dz = 0.000 | diff = -0.10 | SS | 1.110
32, 124 | dz = 0.000 | diff = -0.00 | SS | 0.999
32, 131 | dz = 0.000 | diff = -0.19 | SS | 0.832
33, 60 | dz = 0.002 | diff = 0.02 | SS | 1.000
33, 93 | dz = 0.000 | diff = -0.29 | SS | 0.998
33, 103 | dz = 0.000 | diff = 0.16 | SS | 1.173
33, 111 | dz = 0.000 | diff = 0.17 | SS | 0.826
33, 142 | dz = 0.002 | diff = -0.02 | SS | 0.799
34, 38 | dz = 0.000 | diff = 0.05 | SS | 0.990
34, 47 | dz = 0.000 | diff = -0.01 | SS | 1.012
34, 55 | dz = 0.000 | diff = -0.19 | SS | 1.319
35, 94 | dz = 0.000 | diff = -0.01 | SS | 1.007
35, 102 | dz = 0.000 | diff = 0.07 | SS | 0.963
35, 107 | dz = 0.000 | diff = -0.07 | SS | 1.361
35, 118 | dz = 0.000 | diff = 0.06 | SS | 0.585
36, 41 | dz = 0.000 | diff = 0.07 | SS | 0.931
36, 74 | dz = 0.000 | diff = 0.17 | SS | 0.990
36, 112 | dz = 0.000 | diff = 0.03 | SS | 1.796
36, 131 | dz = 0.000 | diff = -0.08 | SS | 1.239
36, 156 | dz = 0.000 | diff = 0.01 | SS | 1.004
37, 38 | dz = 0.000 | diff = 0.16 | SS | 1.000
37, 47 | dz = 0.000 | diff = 0.22 | SS | 1.094
37, 48 | dz = 0.000 | diff = -0.02 | SS | 1.010
37, 98 | dz = 0.001 | diff = 0.32 | SS | 0.779
38, 47 | dz = 0.000 | diff = 0.05 | SS | 1.053
38, 48 | dz = 0.001 | diff = 0.14 | SS | 0.849
38, 73 | dz = 0.000 | diff = -0.06 | SS | 0.943
39, 90 | dz = 0.000 | diff = -0.37 | SS | 0.837
39, 116 | dz = 0.000 | diff = -0.22 | SS | 1.449
39, 154 | dz = 0.001 | diff = -0.35 | SS | 1.002
40, 48 | dz = 0.001 | diff = 0.43 | SS | 1.010
40, 53 | dz = 0.000 | diff = 0.08 | SS | 0.819
40, 98 | dz = 0.000 | diff = 0.09 | SS | 1.114
40, 139 | dz = 0.000 | diff = 0.11 | SS | 0.887
41, 70 | dz = 0.000 | diff = 0.11 | SS | 1.271
41, 87 | dz = 0.000 | diff = -0.03 | SS | 0.848
41, 122 | dz = 0.000 | diff = 0.16 | SS | 1.001
41, 131 | dz = 0.000 | diff = -0.01 | SS | 0.983
41, 156 | dz = 0.000 | diff = 0.08 | SS | 1.532
42, 46 | dz = 0.000 | diff = -0.24 | SS | 0.798
42, 74 | dz = 0.000 | diff = 0.42 | SS | 0.506
43, 49 | dz = 0.000 | diff = 0.32 | SS | 0.977
43, 85 | dz = 0.000 | diff = -0.06 | SS | 0.909
43, 97 | dz = 0.000 | diff = 0.15 | SS | 0.997
43, 117 | dz = 0.000 | diff = -0.05 | SS | 1.326
43, 159 | dz = 0.000 | diff = -0.03 | SS | 0.923
44, 62 | dz = 0.000 | diff = 0.31 | SS | 1.282
44, 65 | dz = 0.000 | diff = 0.02 | SS | 0.994
44, 100 | dz = 0.000 | diff = -0.10 | SS | 1.005
44, 141 | dz = 0.000 | diff = 0.13 | SS | 0.765
44, 146 | dz = 0.000 | diff = 0.35 | SS | 1.342
44, 149 | dz = 0.000 | diff = 0.27 | SS | 0.972
45, 82 | dz = 0.365 | diff = -78.22 | SD | 0.480
45, 90 | dz = 0.000 | diff = 0.56 | SS | 1.764
45, 116 | dz = 0.000 | diff = 0.70 | SS | 1.517
45, 133 | dz = 0.000 | diff = 0.18 | SS | 0.982
45, 140 | dz = 0.366 | diff = -78.14 | SD | 1.135
46, 74 | dz = 0.000 | diff = 0.18 | SS | 1.589
46, 112 | dz = 0.000 | diff = 0.32 | SS | 0.571
46, 128 | dz = 0.000 | diff = 0.30 | SS | 0.178
47, 55 | dz = 0.000 | diff = -0.19 | SS | 1.178
48, 73 | dz = 0.001 | diff = 0.08 | SS | 1.037
48, 98 | dz = 0.001 | diff = 0.34 | SS | 0.652
49, 97 | dz = 0.000 | diff = -0.17 | SS | 1.214
49, 114 | dz = 0.000 | diff = 0.06 | SS | 1.023
50, 72 | dz = 0.000 | diff = -0.12 | SS | 0.994
50, 125 | dz = 0.000 | diff = -0.23 | SS | 1.179
50, 138 | dz = 0.002 | diff = 0.15 | SS | 19.978
51, 84 | dz = 0.000 | diff = 0.30 | SS | 1.244
51, 106 | dz = 0.000 | diff = -0.02 | SS | 1.326
51, 122 | dz = 0.364 | diff = -77.67 | SD | 1.401
51, 137 | dz = 0.000 | diff = -0.01 | SS | 1.342
51, 152 | dz = 0.000 | diff = 0.24 | SS | 0.995
52, 57 | dz = 0.000 | diff = -0.12 | SS | 1.139
52, 60 | dz = 0.001 | diff = -0.08 | SS | 0.538
52, 130 | dz = 0.000 | diff = 0.40 | SS | 0.704
52, 134 | dz = 0.000 | diff = 0.02 | SS | 1.441
52, 142 | dz = 0.001 | diff = -0.04 | SS | 0.990
52, 157 | dz = 0.000 | diff = 0.16 | SS | 1.355
53, 95 | dz = 0.000 | diff = -0.04 | SS | 1.193
53, 98 | dz = 0.000 | diff = 0.16 | SS | 1.002
53, 120 | dz = 0.000 | diff = -0.01 | SS | 0.830
53, 139 | dz = 0.000 | diff = 0.04 | SS | 1.030
54, 59 | dz = 0.000 | diff = -0.04 | SS | 1.029
54, 81 | dz = 0.000 | diff = 0.23 | SS | 0.773
54, 109 | dz = 0.000 | diff = -0.03 | SS | 1.032
54, 114 | dz = 0.000 | diff = 0.11 | SS | 0.890
55, 101 | dz = 0.000 | diff = -0.08 | SS | 1.655
56, 57 | dz = 0.001 | diff = 0.42 | SS | 0.994
56, 60 | dz = 0.000 | diff = 0.38 | SS | 1.414
56, 89 | dz = 0.365 | diff = -77.53 | SD | 0.904
56, 93 | dz = 0.002 | diff = -0.07 | SS | 1.475
56, 137 | dz = 0.001 | diff = -0.03 | SS | 1.438
56, 158 | dz = 0.365 | diff = -77.53 | SD | 1.472
