Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 15 | dz = 0.442 | sum = 17.39 | DS | 10.471
 0, 90 | dz = 1.024 | sum = 128.56 | DS | 8.004
 0, 104 | dz = 0.282 | diff = -9.39 | SS | 7.783
 0, 107 | dz = 0.024 | diff = -16.56 | SS | 9.959
 0, 146 | dz = 0.554 | sum = 13.62 | DS | 9.384
 0, 159 | dz = 0.093 | diff = -1.65 | SS | 7.227
 1, 10 | dz = 0.184 | diff = 18.26 | SS | 10.287
 1, 24 | dz = 1.017 | sum = 130.00 | DS | 8.008
 1, 115 | dz = 0.471 | sum = 20.08 | DS | 11.132
 2, 64 | dz = 0.266 | sum = 126.31 | DS | 18.985
 2, 110 | dz = 0.186 | diff = -5.94 | SS | 18.581
 2, 112 | dz = 0.738 | sum = 128.62 | DS | 5.334
 2, 141 | dz = 0.456 | diff = 22.73 | SS | 0.672
 2, 151 | dz = 0.184 | diff = -10.75 | SS | 18.154
 2, 156 | dz = 0.091 | diff = 0.87 | SS | 19.271
 3, 23 | dz = 0.014 | diff = -13.55 | SS | 15.333
 3, 51 | dz = 0.825 | sum = 20.38 | DS | 13.560
 3, 53 | dz = 0.000 | diff = 14.61 | SS | 12.327
 4, 118 | dz = 0.744 | sum = 17.60 | DS | 14.450
 4, 129 | dz = 0.565 | sum = 16.56 | DS | 11.733
 4, 133 | dz = 0.659 | sum = 129.98 | DS | 12.999
 4, 149 | dz = 0.800 | sum = 128.32 | DS | 18.991
 4, 155 | dz = 0.652 | sum = 18.39 | DS | 17.582
 5, 19 | dz = 0.000 | diff = -0.79 | SS | 17.166
 5, 31 | dz = 0.747 | sum = 19.88 | DS | 2.029
 5, 55 | dz = 0.030 | diff = 1.17 | SS | 18.541
 5, 68 | dz = 0.045 | diff = -9.73 | SS | 19.119
 5, 131 | dz = 0.000 | diff = 10.10 | SS | 19.395
 5, 135 | dz = 0.603 | sum = 13.75 | DS | 16.772
 6, 56 | dz = 0.898 | sum = 129.97 | DS | 10.001
 6, 87 | dz = 0.590 | sum = 18.14 | DS | 7.537
 6, 153 | dz = 0.466 | sum = 21.50 | DS | 7.487
 6, 157 | dz = 0.017 | diff = 11.90 | SS | 8.698
 7, 17 | dz = 0.839 | sum = 129.69 | DS | 0.665
 7, 21 | dz = 0.688 | sum = 16.56 | DS | 12.844
 7, 73 | dz = 0.093 | diff = -12.83 | SS | 16.539
 7, 79 | dz = 0.000 | diff = 15.59 | SS | 5.651
 7, 124 | dz = 0.646 | sum = 23.67 | DS | 8.985
 7, 136 | dz = 0.632 | sum = 17.82 | DS | 14.027
 8, 30 | dz = 0.467 | sum = 127.21 | DS | 4.162
 8, 41 | dz = 0.002 | diff = -13.98 | SS | 5.891
 8, 125 | dz = 1.022 | sum = 21.38 | DS | 6.975
 8, 127 | dz = 0.745 | sum = 21.17 | DS | 8.199
 9, 61 | dz = 0.104 | diff = 13.64 | SS | 11.115
 9, 92 | dz = 0.559 | sum = 126.74 | DS | 19.561
 9, 96 | dz = 0.279 | diff = -14.21 | SS | 15.494
 9, 106 | dz = 0.847 | sum = 128.43 | DS | 14.666
10, 24 | dz = 0.657 | sum = 20.05 | DS | 13.852
10, 46 | dz = 0.175 | diff = -14.01 | SS | 14.985
10, 115 | dz = 1.203 | sum = 25.92 | DS | 9.003
10, 146 | dz = 0.001 | diff = -4.22 | SS | 15.426
10, 159 | dz = 0.460 | sum = 15.39 | DS | 13.593
11, 14 | dz = 0.093 | diff = -12.84 | SS | 14.095
11, 32 | dz = 0.742 | sum = 18.70 | DS | 14.842
11, 38 | dz = 0.653 | sum = 18.93 | DS | 13.069
11, 68 | dz = 0.748 | sum = 127.75 | DS | 16.205
11, 82 | dz = 0.005 | diff = 13.37 | SS | 13.308
11, 137 | dz = 0.657 | sum = 20.84 | DS | 11.001
12, 16 | dz = 0.754 | sum = 21.12 | DS | 10.997
12, 33 | dz = 0.829 | sum = 21.00 | DS | 15.999
12, 39 | dz = 0.005 | diff = 13.57 | SS | 11.785
12, 57 | dz = 0.559 | sum = 127.96 | DS | 17.986
12, 100 | dz = 0.376 | sum = 15.62 | DS | 13.409
12, 113 | dz = 0.003 | diff = -11.99 | SS | 15.907
13, 42 | dz = 0.559 | sum = 17.76 | DS | 9.953
13, 64 | dz = 1.022 | sum = 129.62 | DS | 12.375
13, 75 | dz = 0.383 | sum = 19.85 | DS | 10.086
13, 141 | dz = 0.279 | diff = -12.64 | SS | 11.999
14, 38 | dz = 0.744 | sum = 20.30 | DS | 9.106
14, 68 | dz = 0.649 | sum = 21.21 | DS | 7.108
14, 135 | dz = 0.000 | diff = 15.99 | SS | 5.567
14, 138 | dz = 0.514 | sum = 20.98 | DS | 3.983
15, 94 | dz = 0.193 | sum = 123.99 | DS | 15.975
15, 104 | dz = 0.724 | sum = 128.23 | DS | 12.968
15, 107 | dz = 1.023 | sum = 23.00 | DS | 14.997
16, 29 | dz = 0.637 | sum = 18.08 | DS | 9.078
16, 33 | dz = 0.093 | diff = 12.12 | SS | 9.948
