Unit cell dimensions: x = 120.0, y = 120.0
Successfully read 160 entries.

Pair interactions (i, j): Δz | angle | orientation code
 0, 17 | dz = 1.118 | diff = -61.37 | SD | 8.783
 0, 21 | dz = 0.931 | sum = -202.63 | DD | 6.907
 0, 30 | dz = 0.353 | diff = -61.34 | SD | 11.002
 0, 72 | dz = 0.744 | sum = 49.23 | DD | 12.076
 0, 97 | dz = 0.840 | sum = -58.99 | DD | 9.880
 0, 142 | dz = 1.116 | sum = -54.48 | DD | 12.523
 1, 12 | dz = 0.281 | diff = 18.61 | SS | 16.695
 1, 76 | dz = 1.308 | sum = -53.59 | DD | 17.831
 1, 89 | dz = 1.136 | sum = -201.00 | DD | 11.000
 1, 117 | dz = 0.931 | sum = 51.98 | DD | 15.812
 1, 123 | dz = 0.931 | sum = -60.07 | DD | 14.290
 1, 124 | dz = 0.186 | diff = 19.29 | SS | 13.148
 2, 14 | dz = 0.468 | sum = 129.87 | DS | 15.994
 2, 25 | dz = 0.193 | diff = 15.47 | SS | 12.896
 2, 40 | dz = 0.003 | diff = 0.37 | SS | 13.904
 2, 92 | dz = 0.933 | sum = -198.27 | DD | 11.735
 2, 120 | dz = 0.278 | diff = -14.04 | SS | 14.339
 2, 146 | dz = 0.000 | sum = -96.15 | DD | 12.403
 3,  8 | dz = 1.212 | sum = -199.56 | DD | 8.203
 3, 99 | dz = 1.210 | sum = 52.01 | DD | 13.014
 3, 154 | dz = 0.001 | diff = 17.13 | SS | 10.991
 4,  5 | dz = 1.116 | sum = -54.93 | DD | 11.996
 4, 32 | dz = 0.187 | diff = -21.11 | SS | 10.659
 4, 36 | dz = 0.094 | sum = -206.58 | DD | 14.020
 4, 44 | dz = 0.560 | sum = 20.03 | DS | 8.808
 4, 58 | dz = 0.188 | diff = -15.40 | SS | 10.843
 5, 32 | dz = 1.304 | sum = -203.36 | DD | 9.414
 5, 44 | dz = 0.186 | diff = -61.27 | SD | 12.049
 5, 83 | dz = 0.931 | sum = 51.50 | DD | 9.527
 6, 17 | dz = 1.424 | sum = 52.65 | DD | 6.153
 6, 47 | dz = 0.279 | sum = 10.24 | DS | 13.099
 6, 72 | dz = 1.050 | diff = -196.64 | SD | 9.438
 6, 84 | dz = 1.429 | sum = -55.16 | DD | 12.685
 6, 135 | dz = 0.125 | sum = -209.13 | DD | 13.875
 6, 136 | dz = 1.385 | sum = -198.96 | DD | 8.988
 7, 36 | dz = 0.467 | sum = 18.33 | DS | 10.980
 7, 58 | dz = 0.373 | diff = -66.35 | SD | 7.703
 7, 126 | dz = 0.373 | diff = -70.99 | SD | 6.237
 8, 42 | dz = 0.085 | diff = 14.86 | SS | 15.370
 8, 129 | dz = 0.932 | sum = 50.08 | DD | 18.084
 8, 143 | dz = 0.931 | sum = -59.81 | DD | 14.984
 8, 154 | dz = 1.213 | sum = -54.91 | DD | 15.998
 9, 77 | dz = 0.674 | sum = 19.94 | DS | 12.970
 9, 115 | dz = 1.191 | sum = -54.24 | DD | 16.749
10, 33 | dz = 1.206 | sum = -200.08 | DD | 12.821
10, 45 | dz = 0.061 | diff = -15.35 | SS | 15.133
10, 69 | dz = 0.745 | sum = 20.37 | DS | 17.999
10, 96 | dz = 1.238 | sum = -57.50 | DD | 13.459
10, 111 | dz = 1.130 | sum = 53.25 | DD | 17.205
11, 14 | dz = 0.012 | diff = 15.94 | SS | 13.156
11, 32 | dz = 1.276 | sum = -53.00 | DD | 8.999
11, 81 | dz = 1.203 | sum = -200.74 | DD | 11.259
11, 109 | dz = 0.282 | diff = -83.67 | SD | 12.276
11, 134 | dz = 0.094 | diff = 16.47 | SS | 8.481
12, 55 | dz = 0.559 | sum = 20.08 | DS | 13.002
12, 68 | dz = 0.837 | sum = 20.65 | DS | 15.833
12, 76 | dz = 1.027 | sum = -201.60 | DD | 14.519
